month_date,time_idx,deaths,year,month,series_id,fear_score_yearly_mean,fear_score_yearly_mean_lag1,feature_std,feature_lag1_std
1774-08-01,895,1720.0,1774,8,London,0.6742323442645695,0.6741280305770135,0.09595962454627464,0.09287613563240306
1774-09-01,896,1497.0,1774,9,London,0.6742323442645695,0.6741280305770135,0.09595962454627464,0.09287613563240306
1774-10-01,897,1982.0,1774,10,London,0.6742323442645695,0.6741280305770135,0.09595962454627464,0.09287613563240306
1774-11-01,898,1692.0,1774,11,London,0.6742323442645695,0.6741280305770135,0.09595962454627464,0.09287613563240306
1774-12-01,899,1876.0,1774,12,London,0.6742323442645695,0.6741280305770135,0.09595962454627464,0.09287613563240306
1775-01-01,900,2118.0,1775,1,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-02-01,901,1621.0,1775,2,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-03-01,902,1411.0,1775,3,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-04-01,903,1568.0,1775,4,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-05-01,904,1779.0,1775,5,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-06-01,905,1406.0,1775,6,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-07-01,906,1858.0,1775,7,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-08-01,908,1632.0,1775,8,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-09-01,909,1593.0,1775,9,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-10-01,910,1837.0,1775,10,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-11-01,911,1609.0,1775,11,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1775-12-01,912,2096.0,1775,12,London,0.6720370302597681,0.6742323442645695,-0.28842877420550855,0.11113085146054028
1776-01-01,913,2156.0,1776,1,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-02-01,914,2031.0,1776,2,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-03-01,915,1616.0,1776,3,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-04-01,916,1852.0,1776,4,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-05-01,917,1383.0,1776,5,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-06-01,918,1360.0,1776,6,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-07-01,919,1599.0,1776,7,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-08-01,920,1213.0,1776,8,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-09-01,921,1589.0,1776,9,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-10-01,922,1216.0,1776,10,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-11-01,923,1310.0,1776,11,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1776-12-01,924,2129.0,1776,12,London,0.6738083669633577,0.6720370302597681,0.02172333963966336,-0.27304532186948044
1777-01-01,925,1858.0,1777,1,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-02-01,926,2211.0,1777,2,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-03-01,927,2482.0,1777,3,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-04-01,928,1825.0,1777,4,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-05-01,929,1540.0,1777,5,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-06-01,930,1902.0,1777,6,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-07-01,931,1657.0,1777,7,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-08-01,932,1383.0,1777,8,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-09-01,933,1820.0,1777,9,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-10-01,934,1826.0,1777,10,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-11-01,935,1906.0,1777,11,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1777-12-01,936,2875.0,1777,12,London,0.6751806963057745,0.6738083669633577,0.2620112790132511,0.03693555329266914
1778-01-01,937,1778.0,1778,1,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-02-01,938,1870.0,1778,2,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
1778-03-01,939,2258.0,1778,3,London,0.6811266212627806,0.6751806963057745,1.3031127197744177,0.2770908268276322
