week_date,time_idx,deaths,log_deaths,year,week_of_year,series_id,total_trials,violent_crime_prop_smooth,property_crime_prop_smooth,conviction_rate_smooth,death_sentence_rate_smooth,transport_rate_smooth,avg_punishment_score_smooth,disease_sentiment,hardship_sentiment,overall_distress_sentiment,conviction_rate_smooth_lag4w,hardship_sentiment_lag4w,violent_crime_prop_smooth_std,property_crime_prop_smooth_std,conviction_rate_smooth_std,death_sentence_rate_smooth_std,transport_rate_smooth_std,avg_punishment_score_smooth_std,disease_sentiment_std,hardship_sentiment_std,overall_distress_sentiment_std,conviction_rate_smooth_lag4w_std,hardship_sentiment_lag4w_std
1679-01-02,52,413.0,6.025865973825314,1679,1,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097052845528456,0.7117127688919626,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.6124752943242975,0.8375701638687931
1679-01-09,53,443.0,6.095824562432225,1679,2,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097052845528456,0.7117127688919626,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.6124752943242975,0.8375701638687931
1679-01-16,54,412.0,6.023447592961033,1679,3,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097052845528456,0.7117127688919626,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.6124752943242975,0.8375701638687931
1679-01-23,55,435.0,6.077642243349034,1679,4,London,2.0,0.22840447154471544,0.7654979674796749,0.6675484218077475,0.3332682942057942,0.015625,0.0,0.7528423070907593,0.7509048879146576,0.7528423070907593,0.0,0.0,2.663749916717748,0.5583603044858543,0.780934718755429,2.2319441655313166,-0.801601820249243,0.0,0.9478761650644378,0.9490782787404322,0.9478761650644378,-1.1731786124250538,-1.1980947343674035
1679-01-30,56,494.0,6.20455776256869,1679,5,London,2.0,0.22840447154471544,0.7654979674796749,0.6675484218077475,0.3332682942057942,0.015625,0.0,0.7528423070907593,0.7509048879146576,0.7528423070907593,0.0,0.0,2.663749916717748,0.5583603044858543,0.780934718755429,2.2319441655313166,-0.801601820249243,0.0,0.9478761650644378,0.9490782787404322,0.9478761650644378,-1.1731786124250538,-1.1980947343674035
1679-02-06,57,413.0,6.025865973825314,1679,6,London,2.0,0.22840447154471544,0.7654979674796749,0.6675484218077475,0.3332682942057942,0.015625,0.0,0.7528423070907593,0.7509048879146576,0.7528423070907593,0.0,0.0,2.663749916717748,0.5583603044858543,0.780934718755429,2.2319441655313166,-0.801601820249243,0.0,0.9478761650644378,0.9490782787404322,0.9478761650644378,-1.1731786124250538,-1.1980947343674035
1679-02-13,58,439.0,6.0867747269123065,1679,7,London,10.0,0.23795308265582654,0.7490049119241193,0.7100831440299697,0.3332682942057942,0.015625,0.0,0.7325181116660435,0.729510388440556,0.7325181116660435,0.0,0.0,2.8123213824036646,0.5206142865006045,0.9054965251569013,2.2319441655313166,-0.801601820249243,0.0,0.8899189805415999,0.8878776990831756,0.8899189805415999,-1.1731786124250538,-1.1980947343674035
1679-02-20,59,466.0,6.1463292576688975,1679,8,London,18.0,0.24750169376693767,0.7325118563685638,0.752617866252192,0.3332682942057942,0.015625,0.0,0.7121939162413279,0.7081158889664544,0.7121939162413279,0.6675484218077475,0.7509048879146576,2.960892848089581,0.4828682685153548,1.0300583315583738,2.2319441655313166,-0.801601820249243,0.0,0.8319617960187624,0.8266771194259186,0.8319617960187624,0.7818814428926265,0.949668786331623
1679-02-27,60,372.0,5.921578419643816,1679,9,London,18.0,0.24750169376693767,0.7325118563685638,0.752617866252192,0.3332682942057942,0.015625,0.0,0.7121939162413279,0.7081158889664544,0.7121939162413279,0.6675484218077475,0.7509048879146576,2.960892848089581,0.4828682685153548,1.0300583315583738,2.2319441655313166,-0.801601820249243,0.0,0.8319617960187624,0.8266771194259186,0.8319617960187624,0.7818814428926265,0.949668786331623
1679-03-06,61,385.0,5.955837369464831,1679,10,London,18.0,0.24750169376693767,0.7325118563685638,0.752617866252192,0.3332682942057942,0.015625,0.0,0.7121939162413279,0.7081158889664544,0.7121939162413279,0.6675484218077475,0.7509048879146576,2.960892848089581,0.4828682685153548,1.0300583315583738,2.2319441655313166,-0.801601820249243,0.0,0.8319617960187624,0.8266771194259186,0.8319617960187624,0.7818814428926265,0.949668786331623
1679-03-13,62,376.0,5.932245187448011,1679,11,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100831440299697,0.729510388440556,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.9064535842745279,0.8884755163800867
1679-03-20,63,388.0,5.963579343618446,1679,12,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752617866252192,0.7081158889664544,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,1.0310257256564295,0.82728224642855
