week_date,time_idx,deaths,log_deaths,year,week_of_year,series_id,total_trials,violent_crime_prop,property_crime_prop,conviction_rate,death_sentence_rate,transport_rate,avg_punishment_score,overall_fear_sentiment,violent_crime_sentiment,property_crime_sentiment,property_crime_sentiment_lag4w,total_trials_std,violent_crime_prop_std,property_crime_prop_std,conviction_rate_std,death_sentence_rate_std,transport_rate_std,avg_punishment_score_std,overall_fear_sentiment_std,violent_crime_sentiment_std,property_crime_sentiment_std,property_crime_sentiment_lag4w_std
1679-01-02,52,413.0,6.025865973825314,1679,1,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664795332295554,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.7856583238842004
1679-01-09,53,443.0,6.095824562432225,1679,2,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664795332295554,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.7856583238842004
1679-01-16,54,412.0,6.023447592961033,1679,3,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664795332295554,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.7856583238842004
1679-01-23,55,435.0,6.077642243349034,1679,4,London,2.0,0.5,0.5,1.0,1.0,0.0,5.0,0.6658309698104858,0.6715466976165771,0.6601152420043945,0.0,-0.7375843218563739,5.264750251449848,-0.04503748289713459,1.7271531422217885,7.1700799507478,-0.8377627907067745,1.9791527482569349,0.7904578986302917,0.8538778381579885,0.7711200633673276,-1.1916072211869821
1679-01-30,56,494.0,6.20455776256869,1679,5,London,2.0,0.5,0.5,1.0,1.0,0.0,5.0,0.6658309698104858,0.6715466976165771,0.6601152420043945,0.0,-0.7375843218563739,5.264750251449848,-0.04503748289713459,1.7271531422217885,7.1700799507478,-0.8377627907067745,1.9791527482569349,0.7904578986302917,0.8538778381579885,0.7711200633673276,-1.1916072211869821
1679-02-06,57,413.0,6.025865973825314,1679,6,London,2.0,0.5,0.5,1.0,1.0,0.0,5.0,0.6658309698104858,0.6715466976165771,0.6601152420043945,0.0,-0.7375843218563739,5.264750251449848,-0.04503748289713459,1.7271531422217885,7.1700799507478,-0.8377627907067745,1.9791527482569349,0.7904578986302917,0.8538778381579885,0.7711200633673276,-1.1916072211869821
1679-02-13,58,439.0,6.0867747269123065,1679,7,London,10.0,0.3333333333333333,0.6666666666666667,0.8823529411764706,0.6923076923076923,0.0,4.153846153846153,0.6738820622364681,0.6517501473426819,0.6760221540927887,0.0,-0.6343313752895031,3.2750412450134383,0.33481807742946884,1.3873881672457111,4.735064983267713,-0.8377627907067745,1.465772031028482,0.8144962923120111,0.7938409959428275,0.8184364968344219,-1.1916072211869821
1679-02-20,59,466.0,6.1463292576688975,1679,8,London,18.0,0.16666666666666666,0.8333333333333334,0.7647058823529411,0.38461538461538464,0.0,3.3076923076923075,0.6819331546624502,0.6319535970687866,0.6919290661811829,0.6601152420043945,-0.5310784287226322,1.2853322385770287,0.7146736377560721,1.047623192269634,2.300050015787627,-0.8377627907067745,0.9523913138000296,0.8385346859937303,0.7338041537276665,0.8657529303015166,0.7717385792184577
1679-02-27,60,372.0,5.921578419643816,1679,9,London,18.0,0.16666666666666666,0.8333333333333334,0.7647058823529411,0.38461538461538464,0.0,3.3076923076923075,0.6819331546624502,0.6319535970687866,0.6919290661811829,0.6601152420043945,-0.5310784287226322,1.2853322385770287,0.7146736377560721,1.047623192269634,2.300050015787627,-0.8377627907067745,0.9523913138000296,0.8385346859937303,0.7338041537276665,0.8657529303015166,0.7717385792184577
1679-03-06,61,385.0,5.955837369464831,1679,10,London,18.0,0.16666666666666666,0.8333333333333334,0.7647058823529411,0.38461538461538464,0.0,3.3076923076923075,0.6819331546624502,0.6319535970687866,0.6919290661811829,0.6601152420043945,-0.5310784287226322,1.2853322385770287,0.7146736377560721,1.047623192269634,2.300050015787627,-0.8377627907067745,0.9523913138000296,0.8385346859937303,0.7338041537276665,0.8657529303015166,0.7717385792184577
1679-03-13,62,376.0,5.932245187448011,1679,11,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6760221540927887,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.819049665312057
1679-03-20,63,388.0,5.963579343618446,1679,12,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919290661811829,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.8663607514056568
1679-03-27,64,393.0,5.976350909297934,1679,13,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919290661811829,-0.7633975584980917,-0.7043767678593809,-1.1846041638769444,-1.160849145074868,-0.7437186935624805,-0.8377627907067745,-1.0544605808202852,-1.1975340571113953,-1.182716546575983,-1.1924476457737019,0.8663607514056568
