week_date,time_idx,deaths,log_deaths,year,week_of_year,series_id,total_trials,violent_crime_prop_smooth,property_crime_prop_smooth,conviction_rate_smooth,death_sentence_rate_smooth,transport_rate_smooth,avg_punishment_score_smooth,disease_sentiment,hardship_sentiment,overall_distress_sentiment,conviction_rate_smooth_lag4w,hardship_sentiment_lag4w,violent_crime_prop_smooth_std,property_crime_prop_smooth_std,conviction_rate_smooth_std,death_sentence_rate_smooth_std,transport_rate_smooth_std,avg_punishment_score_smooth_std,disease_sentiment_std,hardship_sentiment_std,overall_distress_sentiment_std,conviction_rate_smooth_lag4w_std,hardship_sentiment_lag4w_std
1719-01-02,2139,512.0,6.240275845170769,1719,1,London,49.0,0.16762684754598503,0.8123500488729599,0.5992688802661847,0.3112425748116537,0.6186984682050471,0.0,0.7087413972737838,0.7052335836449448,0.7087413972737838,0.5761183700621032,0.7016922550381355,1.7180814238527005,0.6655860093263148,0.5809798914910816,2.0276230669526005,1.3033173794324366,0.0,0.8221164725169419,0.818432067624678,0.8221164725169419,0.5141087447871132,0.8089091517215996
1719-01-09,2140,592.0,6.385194398997726,1719,2,London,49.0,0.16762684754598503,0.8123500488729599,0.5992688802661847,0.3112425748116537,0.6186984682050471,0.0,0.7087413972737838,0.7052335836449448,0.7087413972737838,0.5761183700621032,0.7016922550381355,1.7180814238527005,0.6655860093263148,0.5809798914910816,2.0276230669526005,1.3033173794324366,0.0,0.8221164725169419,0.818432067624678,0.8221164725169419,0.5141087447871132,0.8089091517215996
1719-01-16,2141,522.0,6.259581464064923,1719,3,London,49.0,0.16762684754598503,0.8123500488729599,0.5992688802661847,0.3112425748116537,0.6186984682050471,0.0,0.7087413972737838,0.7052335836449448,0.7087413972737838,0.5761183700621032,0.7016922550381355,1.7180814238527005,0.6655860093263148,0.5809798914910816,2.0276230669526005,1.3033173794324366,0.0,0.8221164725169419,0.818432067624678,0.8221164725169419,0.5141087447871132,0.8089091517215996
1719-01-23,2142,616.0,6.424869023905388,1719,4,London,49.0,0.16762684754598503,0.8123500488729599,0.5992688802661847,0.3112425748116537,0.6186984682050471,0.0,0.7087413972737838,0.7052335836449448,0.7087413972737838,0.0,0.0,1.7180814238527005,0.6655860093263148,0.5809798914910816,2.0276230669526005,1.3033173794324366,0.0,0.8221164725169419,0.818432067624678,0.8221164725169419,-1.1731786124250538,-1.1980947343674035
1719-01-30,2143,567.0,6.342121418721152,1719,5,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5992688802661847,0.7052335836449448,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.581910025236038,0.8190381794039676
1719-02-06,2144,618.0,6.428105272684596,1719,6,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5992688802661847,0.7052335836449448,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.581910025236038,0.8190381794039676
1719-02-13,2145,542.0,6.297109319933935,1719,7,London,49.0,0.1262388876797643,0.8428684435217892,0.6296479215147912,0.23276513120263115,0.6920067388817389,0.0,0.7082580242838178,0.705756067013254,0.7082580242838178,0.5992688802661847,0.7052335836449448,1.0741061077023746,0.7354304277492938,0.6699441084172305,1.299628797847802,1.559186679904406,0.0,0.8207380692400894,0.8199266707136872,0.8207380692400894,0.581910025236038,0.8190381794039676
1719-02-20,2146,580.0,6.364750756851911,1719,8,London,49.0,0.1262388876797643,0.8428684435217892,0.6296479215147912,0.23276513120263115,0.6920067388817389,0.0,0.7082580242838178,0.705756067013254,0.7082580242838178,0.5992688802661847,0.7052335836449448,1.0741061077023746,0.7354304277492938,0.6699441084172305,1.299628797847802,1.559186679904406,0.0,0.8207380692400894,0.8199266707136872,0.8207380692400894,0.581910025236038,0.8190381794039676
1719-02-27,2147,526.0,6.267200548541362,1719,9,London,49.0,0.1262388876797643,0.8428684435217892,0.6296479215147912,0.23276513120263115,0.6920067388817389,0.0,0.7082580242838178,0.705756067013254,0.7082580242838178,0.0,0.0,1.0741061077023746,0.7354304277492938,0.6699441084172305,1.299628797847802,1.559186679904406,0.0,0.8207380692400894,0.8199266707136872,0.8207380692400894,-1.1731786124250538,-1.1980947343674035
1719-03-06,2148,563.0,6.335054251498059,1719,10,London,49.0,0.1262388876797643,0.8428684435217892,0.6296479215147912,0.23276513120263115,0.6920067388817389,0.0,0.7082580242838178,0.705756067013254,0.7082580242838178,0.0,0.0,1.0741061077023746,0.7354304277492938,0.6699441084172305,1.299628797847802,1.559186679904406,0.0,0.8207380692400894,0.8199266707136872,0.8207380692400894,-1.1731786124250538,-1.1980947343674035
1719-03-13,2149,503.0,6.222576268071369,1719,11,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296479215147912,0.705756067013254,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.6708816235856535,0.8205326039798188
1719-03-20,2150,500.0,6.2166061010848646,1719,12,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296479215147912,0.705756067013254,-0.8901058966296229,-1.1935588563288932,-1.1739631373162143,-0.8596117911698072,-0.8561380653818903,0.0,-1.1989552148187497,-1.1989417982646298,-1.1989552148187497,0.6708816235856535,0.8205326039798188
