week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1678-01-03,0,325.0,1678,1,London,0.631627082824707,0.6577469706535339,-2.4360489508900907,-0.09217993366061498
1678-01-10,1,343.0,1678,2,London,0.631627082824707,0.6577469706535339,-2.4360489508900907,-0.09217993366061498
1678-01-17,2,354.0,1678,3,London,0.631627082824707,0.6577469706535339,-2.4360489508900907,-0.09217993366061498
1678-01-24,3,328.0,1678,4,London,0.631627082824707,0.631627082824707,-2.4360489508900907,-2.4369578099145888
1678-01-31,4,397.0,1678,5,London,0.6577469706535339,0.631627082824707,-0.09345852097811004,-2.4369578099145888
1678-02-07,5,377.0,1678,6,London,0.6577469706535339,0.631627082824707,-0.09345852097811004,-2.4369578099145888
1678-02-14,6,368.0,1678,7,London,0.6577469706535339,0.631627082824707,-0.09345852097811004,-2.4369578099145888
1678-02-21,7,378.0,1678,8,London,0.6577469706535339,0.631627082824707,-0.09345852097811004,-2.4369578099145888
1678-02-28,8,350.0,1678,9,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1678-03-07,9,338.0,1678,10,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1678-03-14,10,349.0,1678,11,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1678-03-21,11,356.0,1678,12,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1678-03-28,12,382.0,1678,13,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1678-04-04,13,397.0,1678,14,London,0.6297190189361572,0.6577469706535339,-2.607175727324573,-0.09217993366061498
1678-04-11,14,377.0,1678,15,London,0.6297190189361572,0.6577469706535339,-2.607175727324573,-0.09217993366061498
1678-04-18,15,388.0,1678,16,London,0.6297190189361572,0.6577469706535339,-2.607175727324573,-0.09217993366061498
1678-04-25,16,374.0,1678,17,London,0.6297190189361572,0.6577469706535339,-2.607175727324573,-0.09217993366061498
1678-05-02,17,360.0,1678,18,London,0.6577469706535339,0.6297190189361572,-0.09345852097811004,-2.608244379813754
1678-05-09,18,370.0,1678,19,London,0.6352697014808655,0.6297190189361572,-2.109356751457362,-2.608244379813754
1678-05-16,19,369.0,1678,20,London,0.6352697014808655,0.6297190189361572,-2.109356751457362,-2.608244379813754
1678-05-23,20,396.0,1678,21,London,0.6352697014808655,0.6297190189361572,-2.109356751457362,-2.608244379813754
1678-05-30,21,337.0,1678,22,London,0.6352697014808655,0.6577469706535339,-2.109356751457362,-0.09217993366061498
1678-06-06,22,328.0,1678,23,London,0.6577469706535339,0.6352697014808655,-0.09345852097811004,-2.1099605543151987
1678-06-13,23,342.0,1678,24,London,0.6577469706535339,0.6352697014808655,-0.09345852097811004,-2.1099605543151987
1678-06-20,24,335.0,1678,25,London,0.633683443069458,0.6352697014808655,-2.2516220551325734,-2.1099605543151987
